"BARCODE","AVAILABILITY","DESCRIPTION","DEPARTMENT","TYPE","IMAGES","CONDITION","COLOR","DIMENSIONS","TAGS","CONDITION CHECKS","RESERVED WBS","LOCATION","ORIGINAL ACQUISITION VALUE","HISTORY","HOME WAREHOUSE","CONTAINER","LAST SEEN IN CONTAINER","BARCODE IMAGES","ASSET USAGE","SIDEMARK ROOM"
"=""007003550""","Available","ANTIQUE ROUND TABLE TOP","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1741280450728/1741280388586.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1741280454411/1741280392052.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1741280455681/1741280396609.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1741280456885/1741280400941.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1741280461193/1741280404358.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1741280465345/1741280407875.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1741280469791/1741280411086.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1741280473854/1741280414660.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1741280478132/1741280418755.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1741280482637/1741280422538.jpg","TOP SURFACE AND TOP EDGES HAVE MULTIPLE SCRATCHES AND CHIPS/DENTS. CRACKS ALSO VISIBLE TO TOP SURFACE THROUGHOUT.",,"72 x 72 x 30.5 Inches","","",,"LIC",,"History","LIC","W01-15-06-AA","Thu, Apr 3, 2025 11:45 AM","007003550","","COLLECTED FROM 888 ON 3/4/25"
"=""007002729""","Unavailable","ELDRIDGE EXTENDABLE DINING TABLE","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247392381/007002729%20(4).jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247390175/007002729%20(1).jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247390195/007002729%20(2).jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247392306/007002729%20(3).jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247393145/DARK%20SPOT%20MARK%20ON%20EDGE.jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247393824/DUSTING%20VISIBLE%20ON%20EDGES.jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247394013/HARDWARE.jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719247394760/MINOR%20DISCOLORATION%20ON%20CORNER.jfif,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1733757035288/1733757032486.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1733757038339/1733757029481.jpg","MULTIPLE CHIPS AND SCRATCHES TO CORNERS AND EDGES. MINOR SMEAR MARKS AND SCRASTCHES TO WOOD SURFACE ON TOP.",,"96 x 46 x 30 Inches","","","","LIC",,"History","LIC","W01-15-06-AA","Thu, Apr 3, 2025 11:42 AM","007002729","undefined - Fri, April 4, 2025 - Fri, April 4, 2025","SP24 CHANGEOVER / RL54013"
"=""007003249""","Available","LARGE DINING TABLE","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1726243057044/1726242837964.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1726243057973/1726242870460.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1726243059050/1726242883103.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1726243060133/1726242908320.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1726243061176/1726242926205.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1726243062221/1726242957160.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1726243063218/1726242986936.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1726243064238/1726243007298.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1726243094147/1726243093061.jpg","GOES WITH LARGE DINING TABLE BASES: 007003257. COMES WITH HARDWARE. HAS 2 TOP WOOD LEAFS AND 2 BASE. COMES WITH HARDWARE. CHIP TO TOP EDGES.CHIP TO  BOTH BOTTOM BASE CORNERS AND EDGES.RESIDUE TO TOP EDGES",,"132 x 48 x 32 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-17-06-AA","Thu, Apr 3, 2025 11:40 AM","007003249","","RETURN FROM 36TH TO 888 STOCK"
"=""007002602""","Available","DOWNING FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1741278775897/1741278540637.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1717432226727/1717432192004.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1717432232649/1717432196877.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1717432233486/1717432201593.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1717432234656/1717432210128.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1717432235590/1717432214362.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1717432236564/1717432221104.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1717432237487/1717432225134.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1741278776791/1741278560796.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1741278777665/1741278579012.jpg","MINOR SCRATCHES AND DISCOLORED GOES WITH DOWNING FLOOR LAMP SHADE 007002609","NATURAL BRASS","12 x 12 x 57 Inches","","",,"LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 11:05 AM","007002602","","SP24 CHANGEOVER / 888 STOCK / RL1522"
"=""006318871""","Available","NOLAN LOFT FLOOR LAMP BLK (BASE)  / RL1151BLK-P / (SHADE) IS ASSET 006318878","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/74435424_IMG_1180.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_1181.JPG","COMES WITH LAMP SHADE BARCODE (006318878) MULTIPLE SCRATCHES ON BASE","BLACK NICKEL","11.5 x 11.5 x 66 Inches","","",,"LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 11:04 AM","006318871","","FA21 CHANGEOVER / RL1151BLK-P"
"=""006310380""","Available","VARICK FLOOR LIGHT IN NB/RL1345NB","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1741358362600/1741358339326.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310380.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_8362.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_8363.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1741358363511/1741358255855.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1741358364424/1741358221831.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1741357732524/1741357622449.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1741358365340/1741358191294.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1741357734633/1741357702518.jpg","GOES WITH VARICK FLOOR LAMP SHADE: 007002338. CHROME HAS MULTIPLE SCRATCHES AND PRINT MARKS.","ACRYLIC AND POLISHED NICKLE","14 x 9 x 58 Inches","","",,"LIC",,"History","LIC","W01-14-06-AA","Thu, Apr 3, 2025 11:03 AM","006310380","","888 STOCK"
"=""007003405""","Available","MODERN DRUM END TABLE","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1739910690358/1739910341782.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1729514292814/1729514234127.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1729514293768/1729514247378.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1729514294785/1729514267459.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1729514295731/1729514277197.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1729514296637/1729514285890.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1739910691263/1739910510349.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1739910692286/1739910535242.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1739910693778/1739910550408.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1739910694812/1739910684045.jpg","TOP SURFACE HAS MULTIPLE SCRATCHES AND MULTIPLE MARKS ALONG EDGES OF TOP. OUTER SIDES HAVE MULTIPLE SCRATCHES AND MINOR PRINT MARKS. LOWER LEVEL HAS DUSTING THROUGHOUT.","MAHOGANY","30.5 x 30.5 x 25 Inches","","",,"LIC",,"History","LIC","W01-14-05-AA","Thu, Apr 3, 2025 11:02 AM","007003405","CASEGOOD - Mon, March 3, 2025 - Thu, April 3, 2025","888 STOCK"
"=""007002585""","Available","DOWNING FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1717173806741/1717173752840.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1717173807766/1717173779316.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1717173808926/1717173784109.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1717173809860/1717173788935.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1717173810696/1717173793567.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1717173811606/1717173799880.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1717173812546/1717173803720.jpg","GOES WITH: DOWNING FLOOR LAMP SHADE: 007002608.  BRASS IS VISIBLY DISCOLORED ON ALL SIDES ON BASE. MULTIPLE SCRATCHES AND PRINT MARKS ON METAL THROUGHOUT. HARP IS BROKEN ON TOP SIDE AND SLIT INTO PIECES.","NATURAL BRASS","10 x 10 x 57 Inches","","",,"LIC",,"History","LIC","W01-14-06-AA","Thu, Apr 3, 2025 11:00 AM","007002585","","SP24 CHANGEOVER / 888 STOCK / RL1522NB"
"=""007003418""","Available","BARTON DESK LAMP IN SILVER","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1740405097008/1740405063263.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1729604023633/1729603668148.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1729604024668/1729603676534.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1729604025602/1729603704766.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1729604026586/1729603712758.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1729604027427/1729603727301.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1729604028304/1729603740314.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1729604029150/1729603752003.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1740405098040/1740405093347.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1740405205942/1740405203675.jpg","CHROME HAS MULTIPLE PRINT MARKS AND MULTIPLE SCRATCHES TO TOP SIDES AND TO CHROME BASE. SCRATCHES AND TAPE RESIDUE TO TOP SURFACE.","POLISHED NICKEL","18.5 x 18.5 x 28 Inches","","",,"LIC",,"History","LIC","W01-14-05-CC","Thu, Apr 3, 2025 10:59 AM","007003418","","888 STOCK"
"=""007003403""","Available","CARTAGE TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1740407041826/1740407021603.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1729605202797/1729605046608.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1729605203698/1729605086517.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1729605204577/1729605107393.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1729605205570/1729605113044.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1729605206416/1729605121132.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1729605207272/1729605126352.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1729605208100/1729605130707.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1729605208939/1729605137481.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1740407042727/1740407035757.jpg","MULTIPLE SCRATCHES AND SCUFFS VISIBLE THROUGHOUT. DISCOLORATION AND PRINT MARKS TO METAL FINISH ON BASE AND ON HEAD","NATURAL BRASS","7 x 7 x 30 Inches","","",,"LIC",,"History","LIC","W01-14-05-CC","Thu, Apr 3, 2025 10:52 AM","007003403","","888 STOCK"
"=""007001886""","Unavailable","ANETTE FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1695065052393/1695065013201.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1695065053368/1695065018986.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1695065054272/1695065042403.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1695065055222/1695065051720.jpg","BRASS HAS VISIBLE DISCOLORATION AND SCRATCHES TO METAL HEAD,BODY, AND BASE. MULTIPLE FINGERPRINT MARKS ALSO VISIBLE THROUGHOUT.","NATURAL BRASS","13 x 7 x 43 Inches","","","E-12016.HOME1.10","LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 10:45 AM","007001886","E-12016.HOME1.10 - Wed, May 29, 2024 - Sun, December 29, 2024","FA23 CHANGEOVER / RL1250NB"
"=""007000714""","Available","DARIEN LAMP SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1665693771284/1665693770278.jpg","GOES WITH DARIEN FLOOR LAMP: 007000712. PIECE IS WRAPPED IN PLASTIC","WHITE","20 x 20 x 11 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-14-06-AA","Thu, Apr 3, 2025 9:53 AM","007000714","E-12016.16LIC.15.13 - Fri, April 4, 2025 - Fri, April 4, 2025","RL11102/ 888 STOCK"
"=""006317315""","Available","COTE D''AZUR QUEEN BED 184-03 SIDERAILS AND HARDWARE","Home 888 Madison","BED","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006317315 HARDWARE.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006317315 SR.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1678475977819/1678475975661.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/images_1741983302821/1741983279432.jpg","CAME FROM MASPETH05/21/21",,"80.5 x 4 x 12.5 ","","Mar 14, 2025 - Completed",,"LIC",,"History","LIC","W01-14-01-AA","Thu, Apr 3, 2025 9:49 AM","006317315","","ARIE DAIE, PO Number: ."
"=""007002100""","Available","RUE ROYALE TABLE","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055837796/007002100.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055837821/SMEARS%20ON%20CHROME%20EDGE%20(2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055839615/SMEARS%20ON%20CHROME%20EDGE%20(3).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055839874/SMEARS%20ON%20CHROME%20EDGE.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055840508/STREAKS%20ON%20CHROME%20EDGE%20(2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055840930/STREAKS%20ON%20CHROME%20EDGE%20(3).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702055841413/STREAKS%20ON%20CHROME%20EDGE.JPG","MULTIPLE SMEARS AND STREAK MARKS VISIBLE THROUGHOUT CHROME ON EDGES.MINOR MARKS TO MARBLE TOP.","BLACK AND POLISHED NICKEL","17 x 17 x 22 Inches","","",,"LIC",,"History","LIC","W01-15-02-CC","Thu, Apr 3, 2025 9:21 AM","007002100","","FA23 CHANGEOVER  / RL50038"
"=""007002101""","Available","RUE ROYALE TABLE","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702056850719/007002101.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702056850742/MINIOR%20SCRATCHES%20ON%20CHROME.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702056852594/SMEARS%20ON%20CHROME.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702056852621/STREAKS%20ON%20CHROME%20(2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1702056853574/STREAKS%20ON%20CHROME.JPG","MINOR SCRATCHES VISIBLE TO CHROME EDGES AND SIDES, STREAKS AND SMEARS ALSO VISIBLE TO CHROME EDGES AND SIDES.","BLACK AND POLISHED NICKEL","17 x 17 x 22 Inches","","",,"LIC",,"History","LIC","W01-15-02-CC","Thu, Apr 3, 2025 9:21 AM","007002101","","FA23 CHANGEOVER  /  RL50038"
"=""007003548""","Available","CUSHING ETAGERE","Home 888 Madison","DRESSER","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1693138498030/1693138403266.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1692989617222/IMG_7237.jpeg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1693138497070/1693138390042.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1693138498981/1693138411719.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1693138500023/1693138421570.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1693138501021/1693138434308.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1693138502098/1693138456996.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1693138503244/1693138466720.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1693138504334/1693138474477.jpg",,,"50 x 14 x 93 Inches","","",,"LIC",,"History","LIC","W01-14-08-AA","Thu, Apr 3, 2025 8:38 AM","007003548","","FA23 CHANGEOVER / RL39523-49"
"=""007003547""","Available","CUSHING ETAGERE","Home 888 Madison","BOOKCASE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1719266634153/Screenshot%202024-06-24%20at%206.03.49%20PM.png,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1720547110475/1720546967467.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1720547111480/1720546985949.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1720547112629/1720546994819.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1720547113579/1720547005014.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1720547114547/1720547016751.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1720547115510/1720547024810.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1720547116517/1720547058900.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1720547117437/1720547083472.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1740493935051/1740493911467.jpg",,"BROWN","50 x 14 x 93 Inches","","",,"LIC",,"History","LIC","W01-14-08-AA","Thu, Apr 3, 2025 8:37 AM","007003547","","from vivid kid studio(adv) to 888"
"=""007002964""","Available","MODERN HOLLYWOOD NIGHTSTAND","Home 888 Madison","TABLE","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1739566905828/1739566749759.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1724681078227/1724681021726.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1724681079344/1724681031596.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1724681080487/1724681036304.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1724681081481/1724681051899.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1724681082356/1724681065688.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1724681083313/1724681075667.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1739566906877/1739566778334.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1739566907855/1739566809335.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1739566909010/1739566891593.jpg","MINOR PRINT MARKS VISIBLE TO TOP SIDE. MINOR MARKS AND MINOR CHIPS TO EDGES ON TOP AND ON ALL LEVELS. MINOR SCRATCHES THROUGHOUT.","BROWN","27 x 19 x 30 Inches","","",,"LIC",,"History","LIC","W01-14-11-AA","Wed, Apr 2, 2025 1:57 PM","007002964","","SP24 CHANGOVER / 888 STOCK"
"=""007003533""","Available","DUKE BAR CART","Home 888 Madison","BAR CART","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1737643304323/1737643199519.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1737643305237/1737643207881.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1737643306309/1737643224752.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1737643307338/1737643230240.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1737643308292/1737643256901.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1737643309180/1737643268540.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1737643310061/1737643273586.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1737643311004/1737643285028.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1737643311905/1737643291377.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1737643312901/1737643297740.jpg","COMES WITH TWO GLASS PANES / INSERTS. GLASS HAS MULTIPLE SCRATCHES AND MULTIPLE SMEAR MARKS ON BOTH PIECES. WOODEN PIECE HAS MULTIPLE SCRATCHES TO LACQUER AND SMEARS/PRINTS. EDGE OF MIDDLE LEVEL HAS CHIPS AND IS VISIBLY SCRATCHED. CHROME TRIM HAS MULTIPLE SCRATCHES AND PRINT MARKS.",,"32.5 x 27 x 45.5 Inches","","",,"LIC",,"History","LIC","W01-15-03-AA","Thu, Jan 23, 2025 12:29 PM","007003533","E-12016.HOME1.07 - Sun, March 30, 2025 - Thu, April 3, 2025","COLLECTED FROM 888 ON 1/17/25 / 888 STOCK"
"=""007003185""","Unavailable","WRITERS CHAIR","Home 888 Madison","CHAIR","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1739899981432/1739899837797.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1726170728330/1726170478505.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1726170729280/1726170491615.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1726170730380/1726170501808.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1726170731395/1726170522976.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1726170732344/1726170558757.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1726170733287/1726170579133.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1739899982322/1739899865531.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1739899983213/1739899909468.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1739900066692/1739900046830.jpg","SCRATCHES TO FRONT RIGHT LEG.MULTIPLE Streaks TO TOP BACKREST AND BOTH ARMREST",,"37 x 31 x 38 Inches","","","","LIC",,"History","LIC","W01-15-06-BB","Tue, Feb 18, 2025 1:37 PM","007003185","E-12016.HOME1.10 - Fri, April 4, 2025 - Fri, April 4, 2025","RETURN FROM 36TH TO 888 STOCK"
"=""007003525""","Available","ADRIANNA DOUBLE SCONCE IN AG-S","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1736960353714/1736959936217.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1736960354949/1736959944076.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1736960355974/1736959948197.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1736960356940/1736959967195.jpg","PIECE IS INCOMPLETE. MULTIPLE SCRATCHES THROUGHOUT.",,"15 x 13 x 17.5 Inches","","",,"LIC",,"History","LIC","W01-14-06-BB","Tue, Mar 25, 2025 8:52 AM","007003525","","888 STOCK / RL2231AG-S"
"=""007002583""","Available","ALLEN TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1717169365362/1717169329029.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1717169366306/1717169334836.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1717169367465/1717169339342.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1717169368522/1717169343151.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1717169369450/1717169347525.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1717169370479/1717169358189.jpg","PIECE IS WRAPPED IN PLASTIC AND PLACED INTO A BOX.","NATURAL BRASS","18 x 18 x 30 Inches","","",,"LIC",,"History","LIC","W01-14-04-CC","Wed, Sep 11, 2024 3:48 PM","007002583","","SP24 CHANGEOVER / 888 STOCK / RL3082-PN"
