Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
007001791,,PERREN MEDIUM WALL SCONCE IN PN,Lighting,,,Display,43839745,,,0," $1,629 ", $353 ,, Y ,2020
007002870,,JAMAICA WOVEN DINING CHAIR,Furniture,,polo,Display,78042579,,,Sellable, $-   , $-   ,, Y ,2024
007003210,,KERRY CHAIR,Furniture,,polo,Display,76425594,,,Sellable," $10,511 "," $2,780 ",, Y ,2024
007002433,,LANGHAM CHAIR,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007002522,,ROLL OF FABRIC,Fabric,,,Display,,,,0, $-   , $-   ,,,#N/A
007002523,,CLIFF STRIPE HARBOR RUG,Rug,,,Display,,,,0, $-   , $-   ,,,#N/A
007002525,,WAINSCOTT FLORAL VINTAGE ROSE (20 YRDS ),Fabric,,,Display,,,,0, $-   , $-   ,,,#N/A
007003125,,LANGHAM DESK BASE,Furniture,,polo,Display,43652338,,,Sellable," $11,470 "," $2,833 ",,,2020
007003202,,LANGHAM DESK BASE,Furniture,,polo,Display,42448324,,,Sellable," $11,550 "," $2,888 ",,,2019
007001790,,PERREN MIDIUM WALL SCONCE IN PN,Lighting,,,Display,43839745,,,0," $1,629 ", $353 ,, Y ,2020
007000161,,QUINCY FLOOR LAMP VO (SHADE) / RL1716VO-WP / (BASE) IS ASSET 006303559,Lighting,,,,35768159,,,0, $-   , $-   ,, Y ,2017
007001693,,RIVINGTON MEDIUM 8-PANEL CHANDELIER,Lighting,,,,44261501,,,0," $5,529 "," $1,038 ",, Y ,2016
007000779,,RIVINGTON MEDIUM PENDANT,Lighting,,,,44261501,,,0," $5,529 "," $1,038 ",, Y ,2016
007000716,,RIVINGTON SHIELD SCONCE,Lighting,,,,42508341,,,0, $799 , $231 ,, Y ,2019
007002555,,TRADE ROUTE STRIPE RUG,Rug,,,Display,,,,0, $-   , $-   ,,,#N/A
007002452,,LANGHAM DESK GLASS TOP,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
006318862,,RIVINGTON SHIELD SCONCE BZ / RL2066BZ,Lighting,,,,42485698,,,0, $799 , $207 ,, Y ,2019
007003130,,RL 67 BOOM ARM FL,Lighting,,,Display,42508622,,,0," $1,305 ", $416 ,, Y ,2019
006301535,,RL 67 BOOM ARM FLOOR LAMP BZ / RL14028BZ,Lighting,,,,42508622,,,0," $1,305 ", $416 ,, Y ,2019
007000133,,RL 67 BOOM ARM FLOOR LAMP BZ / RL14028BZ,Lighting,,,,42508622,,,0," $1,305 ", $416 ,, Y ,2019
006316164,,RL 67 BOOM ARM TABLE LAMP PN / RL14030PN,Lighting,,,,35999523,,,0, $459 , $255 ,, Y ,2018
